category,title,abstract,clean_abstract
phys,A High Robustness and Low Cost Model for Cascading Failures,"  We study numerically the cascading failure problem by using artificially
created scale-free networks and the real network structure of the power grid.
The capacity for a vertex is assigned as a monotonically increasing function of
the load (or the betweenness centrality). Through the use of a simple
functional form with two free parameters, revealed is that it is indeed
possible to make networks more robust while spending less cost. We suggest that
our method to prevent cascade by protecting less vertices is particularly
important for the design of more robust real-world networks to cascading
failures.
",study numerically cascade failure problem artificially create scale free network real network structure power grid capacity vertex assign monotonically increase function load betweenness centrality use simple functional form free parameter reveal possible network robust spend cost suggest method prevent cascade protect vertex particularly important design robust real world network cascade failure
phys,Turbulent Diffusion of Lines and Circulations,"  We study material lines and passive vectors in a model of turbulent flow at
infinite-Reynolds number, the Kraichnan-Kazantsev ensemble of velocities that
are white-noise in time and rough (Hoelder continuous) in space. It is argued
that the phenomenon of ``spontaneous stochasticity'' generalizes to material
lines and that conservation of circulations generalizes to a ``martingale
property'' of the stochastic process of lines.
",study material line passive vector model turbulent flow infinite reynolds number kraichnan kazantsev ensemble velocity white noise time rough hoelder continuous space argue phenomenon ` ` spontaneous stochasticity generalize material line conservation circulation generalize ` ` martingale property stochastic process line
phys,Leaky modes of a left-handed slab,"  Using complex plane analysis we show that left-handed slab may support either
leaky slab waves, which are backward because of negative refraction, or leaky
surface waves, which are backward or forward depending on the propagation
direction of the surface wave itself. Moreover, there is a general connection
between the reflection coefficient of the left-handed slab and the one of the
corresponding right-handed slab (with opposite permittivity and permeability)
so that leaky slab modes are excited for the same angle of incidence of the
impinging beam for both structures. Many negative giant lateral shifts can be
explained by the excitation of these leaky modes.
",complex plane analysis left handed slab support leaky slab wave backward negative refraction leaky surface wave backward forward depend propagation direction surface wave general connection reflection coefficient left handed slab corresponding right handed slab opposite permittivity permeability leaky slab mode excited angle incidence impinge beam structure negative giant lateral shift explain excitation leaky mode
phys,Universe Without Singularities. A Group Approach to De Sitter Cosmology,"  In the last years the traditional scenario of Big Bang has been deeply
modified by the study of the quantum features of the Universe evolution,
proposing again the problem of using local physical laws on cosmic scale, with
particular regard to the cosmological constant role. The group extention method
shows that the De Sitter group univocally generalizes the Poincare group,
formally justifies the cosmological constant use and suggests a new
interpretation for Hartle-Hawking boundary conditions in Quantum Cosmology.
",year traditional scenario big bang deeply modify study quantum feature universe evolution propose problem local physical law cosmic scale particular regard cosmological constant role group extention method show de sitter group univocally generalize poincare group formally justify cosmological constant use suggest new interpretation hartle hawk boundary condition quantum cosmology
phys,Quantifying social group evolution,"  The rich set of interactions between individuals in the society results in
complex community structure, capturing highly connected circles of friends,
families, or professional cliques in a social network. Thanks to frequent
changes in the activity and communication patterns of individuals, the
associated social and communication network is subject to constant evolution.
Our knowledge of the mechanisms governing the underlying community dynamics is
limited, but is essential for a deeper understanding of the development and
self-optimisation of the society as a whole. We have developed a new algorithm
based on clique percolation, that allows, for the first time, to investigate
the time dependence of overlapping communities on a large scale and as such, to
uncover basic relationships characterising community evolution. Our focus is on
networks capturing the collaboration between scientists and the calls between
mobile phone users. We find that large groups persist longer if they are
capable of dynamically altering their membership, suggesting that an ability to
change the composition results in better adaptability. The behaviour of small
groups displays the opposite tendency, the condition for stability being that
their composition remains unchanged. We also show that the knowledge of the
time commitment of the members to a given community can be used for estimating
the community's lifetime. These findings offer a new view on the fundamental
differences between the dynamics of small groups and large institutions.
",rich set interaction individual society result complex community structure capture highly connect circle friend family professional clique social network thank frequent change activity communication pattern individual associate social communication network subject constant evolution knowledge mechanism govern underlie community dynamic limited essential deep understanding development self optimisation society develop new algorithm base clique percolation allow time investigate time dependence overlap community large scale uncover basic relationship characterise community evolution focus network capture collaboration scientist call mobile phone user find large group persist long capable dynamically alter membership suggest ability change composition result well adaptability behaviour small group display opposite tendency condition stability composition remain unchanged knowledge time commitment member give community estimate community lifetime finding offer new view fundamental difference dynamic small group large institution
phys,Eigen Equation of the Nonlinear Spinor,"  How to effectively solve the eigen solutions of the nonlinear spinor field
equation coupling with some other interaction fields is important to understand
the behavior of the elementary particles. In this paper, we derive a simplified
form of the eigen equation of the nonlinear spinor, and then propose a scheme
to solve their numerical solutions. This simplified equation has elegant and
neat structure, which is more convenient for both theoretical analysis and
numerical computation.
",effectively solve eigen solution nonlinear spinor field equation couple interaction field important understand behavior elementary particle paper derive simplified form eigen equation nonlinear spinor propose scheme solve numerical solution simplified equation elegant neat structure convenient theoretical analysis numerical computation
phys,Non-extensive thermodynamics of 1D systems with long-range interaction,"  A new approach to non-extensive thermodynamical systems with non-additive
energy and entropy is proposed. The main idea of the paper is based on the
statistical matching of the thermodynamical systems with the additive
multi-step Markov chains. This general approach is applied to the Ising spin
chain with long-range interaction between its elements. The asymptotical
expressions for the energy and entropy of the system are derived for the
limiting case of weak interaction. These thermodynamical quantities are found
to be non-proportional to the length of the system (number of its particle).
",new approach non extensive thermodynamical system non additive energy entropy propose main idea paper base statistical matching thermodynamical system additive multi step markov chain general approach apply ising spin chain long range interaction element asymptotical expression energy entropy system derive limiting case weak interaction thermodynamical quantity find non proportional length system number particle
phys,Simulation of Robustness against Lesions of Cortical Networks,"  Structure entails function and thus a structural description of the brain
will help to understand its function and may provide insights into many
properties of brain systems, from their robustness and recovery from damage, to
their dynamics and even their evolution. Advances in the analysis of complex
networks provide useful new approaches to understanding structural and
functional properties of brain networks. Structural properties of networks
recently described allow their characterization as small-world, random
(exponential) and scale-free. They complement the set of other properties that
have been explored in the context of brain connectivity, such as topology,
hodology, clustering, and hierarchical organization. Here we apply new network
analysis methods to cortical inter-areal connectivity networks for the cat and
macaque brains. We compare these corticocortical fibre networks to benchmark
rewired, small-world, scale-free and random networks, using two analysis
strategies, in which we measure the effects of the removal of nodes and
connections on the structural properties of the cortical networks. The brain
networks' structural decay is in most respects similar to that of scale-free
networks. The results implicate highly connected hub-nodes and bottleneck
connections as structural basis for some of the conditional robustness of brain
systems. This informs the understanding of the development of brain networks'
connectivity.
",structure entail function structural description brain help understand function provide insight property brain system robustness recovery damage dynamic evolution advance analysis complex network provide useful new approach understand structural functional property brain network structural property network recently describe allow characterization small world random exponential scale free complement set property explore context brain connectivity topology hodology clustering hierarchical organization apply new network analysis method cortical inter areal connectivity network cat macaque brain compare corticocortical fibre network benchmark rewire small world scale free random network analysis strategy measure effect removal node connection structural property cortical network brain network structural decay respect similar scale free network result implicate highly connect hub node bottleneck connection structural basis conditional robustness brain system inform understanding development brain network connectivity
phys,"Bibliometric statistical properties of the 100 largest European
  universities: prevalent scaling rules in the science system","  For the 100 largest European universities we studied the statistical
properties of bibliometric indicators related to research performance, field
citation density and journal impact. We find a size-dependent cumulative
advantage for the impact of universities in terms of total number of citations.
In previous work a similar scaling rule was found at the level of research
groups. Therefore we conjecture that this scaling rule is a prevalent property
of the science system. We observe that lower performance universities have a
larger size-dependent cumulative advantage for receiving citations than
top-performance universities. We also find that for the lower-performance
universities the fraction of not-cited publications decreases considerably with
size. Generally, the higher the average journal impact of the publications of a
university, the lower the number of not-cited publications. We find that the
average research performance does not dilute with size. Large top-performance
universities succeed in keeping a high performance over a broad range of
activities. This most probably is an indication of their scientific attractive
power. Next we find that particularly for the lower-performance universities
the field citation density provides a strong cumulative advantage in citations
per publication. The relation between number of citations and field citation
density found in this study can be considered as a second basic scaling rule of
the science system. Top-performance universities publish in journals with
significantly higher journal impact as compared to the lower performance
universities. We find a significant decrease of the fraction of self-citations
with increasing research performance, average field citation density, and
average journal impact.
",100 large european university study statistical property bibliometric indicator relate research performance field citation density journal impact find size dependent cumulative advantage impact university term total number citation previous work similar scaling rule find level research group conjecture scaling rule prevalent property science system observe low performance university large size dependent cumulative advantage receive citation performance university find low performance university fraction cite publication decrease considerably size generally high average journal impact publication university low number cite publication find average research performance dilute size large performance university succeed keep high performance broad range activity probably indication scientific attractive power find particularly low performance university field citation density provide strong cumulative advantage citation publication relation number citation field citation density find study consider second basic scaling rule science system performance university publish journal significantly high journal impact compare low performance university find significant decrease fraction self citation increase research performance average field citation density average journal impact
phys,Nuclear Spin Effects in Optical Lattice Clocks,"  We present a detailed experimental and theoretical study of the effect of
nuclear spin on the performance of optical lattice clocks. With a state-mixing
theory including spin-orbit and hyperfine interactions, we describe the origin
of the $^1S_0$-$^3P_0$ clock transition and the differential g-factor between
the two clock states for alkaline-earth(-like) atoms, using $^{87}$Sr as an
example. Clock frequency shifts due to magnetic and optical fields are
discussed with an emphasis on those relating to nuclear structure. An
experimental determination of the differential g-factor in $^{87}$Sr is
performed and is in good agreement with theory. The magnitude of the tensor
light shift on the clock states is also explored experimentally. State specific
measurements with controlled nuclear spin polarization are discussed as a
method to reduce the nuclear spin-related systematic effects to below
10$^{-17}$ in lattice clocks.
",present detailed experimental theoretical study effect nuclear spin performance optical lattice clock state mix theory include spin orbit hyperfine interaction describe origin $ ^1s_0$-$^3p_0 $ clock transition differential g factor clock state alkaline earth(-like atom $ ^{87}$sr example clock frequency shift magnetic optical field discuss emphasis relate nuclear structure experimental determination differential g factor $ ^{87}$sr perform good agreement theory magnitude tensor light shift clock state explore experimentally state specific measurement control nuclear spin polarization discuss method reduce nuclear spin relate systematic effect 10$^{-17}$ lattice clock
